step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
635,56,15621,208.28,2.383930255,56,19396,0.102049651,56,19396
640,58,15904,198.8,3.583591174,58,19663,0.134082213,58,19663
645,58,16194,213.0789474,3.082933606,58,19953,0.086992577,58,19953
650,54,14778,191.9220779,2.772888889,54,19197,0.117644664,54,19197
655,47,12240,165.4054054,2.858525494,47,17446,0.122409405,47,17446
660,42,10256,138.5945946,3.628035124,42,14914,0.128665761,42,14914
665,36,8207,112.4246575,3.606783778,36,15087,0.181417429,36,15087
670,34,6847,96.43661972,3.998177641,34,15227,0.191244262,34,15227
675,39,7030,92.5,3.723322629,39,15408,0.140382482,39,15408
680,46,7252,95.42105263,3.114701482,46,15630,0.114847306,46,15630
685,53,7510,95.06329114,2.360903038,53,15888,0.088249356,53,15888
690,62,7810,100.1282051,1.782083755,62,16190,0.063096466,62,16190
695,69,8141,104.3717949,1.472775972,69,16523,0.052308125,69,16523
700,70,8491,107.4810127,1.604913743,70,16873,0.063835778,70,16873
705,70,8841,110.5125,1.428210476,70,17223,0.055932626,70,17223
710,72,9199,113.5679012,1.387492461,72,17581,0.072543246,72,17581
715,72,9559,115.1686747,1.583862343,72,17941,0.068061352,72,17941
720,68,9499,115.8414634,1.485253208,68,18134,0.056511636,68,18134
725,60,9546,108.4772727,2.585745526,60,18146,0.111917996,60,18146
730,64,9855,114.5930233,2.772859588,64,18281,0.094073543,64,18281
735,61,10138,115.2045455,2.24259737,61,18579,0.084870768,61,18579
740,66,10461,126.0361446,2.324096635,66,18887,0.087652384,66,18887
745,66,10791,125.4767442,2.744139888,66,19217,0.074138038,66,19217
750,68,11130,137.4074074,2.084257296,68,19556,0.073245311,68,19556
755,68,11470,141.6049383,1.704861736,68,19896,0.062192508,68,19896
760,64,11673,145.9125,1.916422811,64,20152,0.087547909,64,20152
765,61,11937,145.5731707,2.359584487,61,20358,0.095550357,61,20358
770,64,12254,149.4390244,2.603233796,64,20636,0.080238943,64,20636
775,60,12536,151.0361446,2.27395567,60,20932,0.085792548,60,20932
780,60,12836,160.45,2.778744369,60,21218,0.081637359,60,21218
785,62,13141,162.2345679,3.110352741,62,21523,0.095166224,62,21523
790,56,12701,169.3466667,2.615340353,56,20741,0.096397018,56,20741
795,47,11764,150.8205128,3.043022998,47,18912,0.146391529,47,18912
800,46,11058,145.5,3.860645414,46,16272,0.151995238,46,16272
805,36,10191,132.3506494,3.766902189,36,16453,0.19373326,36,16453
810,38,9800,136.1111111,3.61252345,38,16619,0.184614191,38,16619
815,46,10012,128.3589744,3.369477444,46,16831,0.151116263,46,16831
820,53,10263,128.2875,2.691822285,53,17082,0.112422328,53,17082
825,59,10546,130.1975309,1.939921552,59,17365,0.087853413,59,17365
830,66,10864,130.8915663,1.670371903,66,17683,0.070266954,66,17683
835,72,11220,133.5714286,1.81585608,72,18040,0.083042277,72,18040
840,73,11581,141.2317073,1.212168487,73,18401,0.04543066,73,18401
